Source,Destination,Source Coordinates,Destination Coordinates,Total Distance (m),Total Duration (seconds),Onroad Duration (seconds),Charging Duration (seconds),Number of Stops
Agra,Delhi,"27.1752554,78.0098161","28.6273928,77.1716954",209076,16712,14513,2199,1
Agra,Jaipur,"27.1752554,78.0098161","26.9154576,75.8189817",398610,27690,21894,5796,2
Ahmedabad,Amritsar,"23.0216238,72.5797068","31.6343083,74.8736788",1378073,107525,73187,34338,11
Ahmedabad,Belgaum,"23.0216238,72.5797068","15.8572666,74.5069343",1002238,72132,52346,19786,7
Ahmedabad,Bhavnagar,"23.0216238,72.5797068","21.7718836,72.1416449",174370,13090,11624,1466,1
Ahmedabad,Bhubaneswar,"23.0216238,72.5797068","20.2602964,85.8394521",5294082,455541,394714,60827,22
Ahmedabad,Chandigarh,"23.0216238,72.5797068","30.7334421,76.7797143",1168055,92814,62773,30041,10
Ahmedabad,Chennai,"23.0216238,72.5797068","13.0836939,80.270186",1848257,140679,95093,45586,14
Ahmedabad,Coimbatore,"23.0216238,72.5797068","11.0018115,76.9628425",1889247,140286,94165,46121,14
Ahmedabad,Dehradun,"23.0216238,72.5797068","30.3255646,78.0436813",1182222,95933,65419,30514,10
Ahmedabad,Delhi,"23.0216238,72.5797068","28.6273928,77.1716954",923123,77056,51724,25332,8
Ahmedabad,Goa,"23.0216238,72.5797068","15.3004543,74.0855134",1115866,85513,62497,23016,8
Ahmedabad,Hubli,"23.0216238,72.5797068","15.3518378,75.1379848",1097533,79222,57032,22190,8
Ahmedabad,Hyderabad,"23.0216238,72.5797068","17.360589,78.4740613",1236098,94693,65468,29225,10
Ahmedabad,Jaipur,"23.0216238,72.5797068","26.9154576,75.8189817",662066,55720,35686,20034,6
Ahmedabad,Jammu,"23.0216238,72.5797068","32.7185614,74.8580917",1514581,118155,79907,38248,12
Ahmedabad,Jodhpur,"23.0216238,72.5797068","26.2967719,73.0351433",470024,34995,24900,10095,3
Ahmedabad,Kannur,"23.0216238,72.5797068","11.8763836,75.3737973",1772987,139540,94739,44801,13
Ahmedabad,Keshod,"23.0216238,72.5797068","21.31486295,70.26789366226589",359840,28601,22310,6291,3
Ahmedabad,Kochi,"23.0216238,72.5797068","9.9674277,76.2454436",2087130,158448,106603,51845,16
Ahmedabad,Kolkata,"23.0216238,72.5797068","22.5726459,88.3638953",4822836,411024,362771,48253,18
Ahmedabad,Mumbai,"23.0216238,72.5797068","19.08157715,72.88662753964906",526218,37476,27883,9593,3
Ahmedabad,Nagpur,"23.0216238,72.5797068","21.1498134,79.0820556",1681985,129125,86892,42233,12
Ahmedabad,Porbandar,"23.0216238,72.5797068","21.6409,69.611",428012,35000,26729,8271,3
Ahmedabad,Pune,"23.0216238,72.5797068","18.521428,73.8544541",667761,47117,35615,11502,4
Ahmedabad,Raipur,"23.0216238,72.5797068","21.2380912,81.6336993",1969518,153604,103236,50368,14
Ahmedabad,Ranchi,"23.0216238,72.5797068","23.3700501,85.3250387",5254594,450940,391177,59763,21
Ahmedabad,Udaipur,"23.0216238,72.5797068","24.578721,73.6862571",262424,20490,14994,5496,2
Ahmedabad,Vadodara,"23.0216238,72.5797068","22.2973142,73.1942567",112101,7563,6902,661,1
Amritsar,Ahmedabad,"31.6343083,74.8736788","23.0216238,72.5797068",1401505,110675,73627,37048,12
Amritsar,Chennai,"31.6343083,74.8736788","13.0836939,80.270186",3236914,254745,170271,84474,27
Amritsar,Dehradun,"31.6343083,74.8736788","30.3255646,78.0436813",453838,32796,23857,8939,2
Amritsar,Delhi,"31.6343083,74.8736788","28.6273928,77.1716954",462853,33338,24399,8939,2
Amritsar,Goa,"31.6343083,74.8736788","15.3004543,74.0855134",2505715,198397,135822,62575,21
Amritsar,Hyderabad,"31.6343083,74.8736788","17.360589,78.4740613",2624651,207172,137673,69499,23
Amritsar,Jaipur,"31.6343083,74.8736788","26.9154576,75.8189817",717372,50026,35330,14696,4
Amritsar,Mumbai,"31.6343083,74.8736788","19.08157715,72.88662753964906",1921770,149577,99696,49881,16
Bagdogra,Bagdogra,"26.6988847,88.3200303","26.6988847,88.3200303",0,0,0,0,0
Belgaum,Ahmedabad,"15.8572666,74.5069343","23.0216238,72.5797068",996659,74285,53344,20941,7
Belgaum,Hyderabad,"15.8572666,74.5069343","17.360589,78.4740613",632109,50910,34076,16834,5
Belgaum,Kadapa,"15.8572666,74.5069343","14.4752936,78.8216861",704899,64800,41397,23403,5
Belgaum,Mumbai,"15.8572666,74.5069343","19.08157715,72.88662753964906",480566,35036,26020,9016,3
Belgaum,Mysore,"15.8572666,74.5069343","12.3051828,76.6553609",635413,49783,30610,19173,5
Belgaum,Pune,"15.8572666,74.5069343","18.521428,73.8544541",336232,25242,18861,6381,2
Belgaum,Tirupati,"15.8572666,74.5069343","13.6316368,79.4231711",776554,58155,37370,20785,7
Bengaluru,Agra,"12.9767936,77.590082","27.1752554,78.0098161",2549332,201356,133164,68192,20
Bengaluru,Amritsar,"12.9767936,77.590082","31.6343083,74.8736788",2863521,221030,146771,74259,22
Bengaluru,Belgaum,"12.9767936,77.590082","15.8572666,74.5069343",513418,42033,25007,17026,4
Bengaluru,Bhubaneswar,"12.9767936,77.590082","20.2602964,85.8394521",3866799,351207,329394,21813,8
Bengaluru,Calicut,"12.9767936,77.590082","11.2450558,75.7754716",401471,36411,28664,7747,3
Bengaluru,Chandigarh,"12.9767936,77.590082","30.7334421,76.7797143",2653260,207613,137494,70119,20
Bengaluru,Chennai,"12.9767936,77.590082","13.0836939,80.270186",339876,27478,20982,6496,2
Bengaluru,Coimbatore,"12.9767936,77.590082","11.0018115,76.9628425",365428,27003,19776,7227,2
Bengaluru,Dehradun,"12.9767936,77.590082","30.3255646,78.0436813",2677921,211266,140533,70733,22
Bengaluru,Delhi,"12.9767936,77.590082","28.6273928,77.1716954",2408411,193787,128288,65499,19
Bengaluru,Goa,"12.9767936,77.590082","15.3004543,74.0855134",573401,49310,32021,17289,4
Bengaluru,Gwalior,"12.9767936,77.590082","26.2037247,78.1573628",2663947,209872,138890,70982,21
Bengaluru,Hubli,"12.9767936,77.590082","15.3518378,75.1379848",417560,32089,19760,12329,3
Bengaluru,Hyderabad,"12.9767936,77.590082","17.360589,78.4740613",568279,38808,27230,11578,4
Bengaluru,Jaipur,"12.9767936,77.590082","26.9154576,75.8189817",2151502,174009,112628,61381,17
Bengaluru,Jodhpur,"12.9767936,77.590082","26.2967719,73.0351433",1977262,150706,101588,49118,14
Bengaluru,Kannur,"12.9767936,77.590082","11.8763836,75.3737973",325461,30155,22986,7169,3
Bengaluru,Kochi,"12.9767936,77.590082","9.9674277,76.2454436",561259,41268,29826,11442,3
Bengaluru,Kolhapur,"12.9767936,77.590082","16.7028412,74.2405329",619367,48221,29537,18684,4
Bengaluru,Kolkata,"12.9767936,77.590082","22.5726459,88.3638953",3399883,306154,297582,8572,5
Bengaluru,Madurai,"12.9767936,77.590082","9.9261153,78.1140983",482912,39606,27791,11815,3
Bengaluru,Mangalore,"12.9767936,77.590082","12.8698101,74.8430082",394016,38622,26831,11791,3
Bengaluru,Mumbai,"12.9767936,77.590082","19.08157715,72.88662753964906",990382,75161,49288,25873,7
Bengaluru,Mysore,"12.9767936,77.590082","12.3051828,76.6553609",146987,10535,8931,1604,1
Bengaluru,Nagpur,"12.9767936,77.590082","21.1498134,79.0820556",1082268,76587,52882,23705,7
Bengaluru,Pondicherry,"12.9767936,77.590082","10.91564885,79.80694879844232",501660,45762,32958,12804,3
Bengaluru,Port Blair,"12.9767936,77.590082","11.6645348,92.7390448",1860337,166501,158516,7985,3
Bengaluru,Pune,"12.9767936,77.590082","18.521428,73.8544541",844361,64931,40812,24119,6
Bengaluru,Raipur,"12.9767936,77.590082","21.2380912,81.6336993",1369801,102276,69672,32604,9
Bengaluru,Rajahmundry,"12.9767936,77.590082","17.0050454,81.7804732",827424,63933,43367,20566,6
Bengaluru,Ranchi,"12.9767936,77.590082","23.3700501,85.3250387",3831497,346649,325470,21179,8
Bengaluru,Thiruvananthapuram,"12.9767936,77.590082","8.4882267,76.947551",755665,58069,41295,16774,4
Bengaluru,Tiruchirappalli,"12.9767936,77.590082","10.804973,78.6870296",342957,28309,21372,6937,2
Bengaluru,Tirupati,"12.9767936,77.590082","13.6316368,79.4231711",256475,19063,14681,4382,2
Bengaluru,Tuticorin,"12.9767936,77.590082","8.8052602,78.1452745",631768,51226,35334,15892,4
Bengaluru,Udaipur,"12.9767936,77.590082","24.578721,73.6862571",1751860,136189,89712,46477,13
Bengaluru,Vadodara,"12.9767936,77.590082","22.2973142,73.1942567",1391646,106803,72083,34720,10
Bengaluru,Vijayawada,"12.9767936,77.590082","16.5087573,80.6185089",670407,51196,34880,16316,5
Bengaluru,Visakhapatnam,"12.9767936,77.590082","17.7231276,83.3012842",1039041,84956,56805,28151,8
Bhatinda,Delhi,"30.25,75.0","28.6273928,77.1716954",419102,28944,21829,7115,2
Bhatinda,Jammu,"30.25,75.0","32.7185614,74.8580917",449518,35207,25119,10088,2
Bhavnagar,Ahmedabad,"21.7718836,72.1416449","23.0216238,72.5797068",293664,22922,18510,4412,3
Bhavnagar,Mumbai,"21.7718836,72.1416449","19.08157715,72.88662753964906",435177,35995,26729,9266,4
Bhopal,Agra,"23.2584857,77.401989","27.1752554,78.0098161",1634528,131382,88307,43075,13
Bhopal,Ahmedabad,"23.2584857,77.401989","23.0216238,72.5797068",587110,47385,34069,13316,4
Bhopal,Bengaluru,"23.2584857,77.401989","12.9767936,77.590082",1920635,148998,101317,47681,15
Bhopal,Bhopal,"23.2584857,77.401989","23.2584857,77.401989",0,0,0,0,0
Bhopal,Chennai,"23.2584857,77.401989","13.0836939,80.270186",2257493,178576,123242,55334,17
Bhopal,Delhi,"23.2584857,77.401989","28.6273928,77.1716954",1493607,123405,82669,40736,12
Bhopal,Hyderabad,"23.2584857,77.401989","17.360589,78.4740613",1644145,129475,89554,39921,13
Bhopal,Jaipur,"23.2584857,77.401989","26.9154576,75.8189817",1231464,105726,69868,35858,10
Bhopal,Kolkata,"23.2584857,77.401989","22.5726459,88.3638953",5224963,447901,388528,59373,21
Bhopal,Mumbai,"23.2584857,77.401989","19.08157715,72.88662753964906",939140,73912,52205,21707,6
Bhopal,Nagpur,"23.2584857,77.401989","21.1498134,79.0820556",2083878,164005,111205,52800,15
Bhopal,Pune,"23.2584857,77.401989","18.521428,73.8544541",1077768,83584,60907,22677,7
Bhopal,Udaipur,"23.2584857,77.401989","24.578721,73.6862571",831822,67989,47220,20769,6
Bhubaneswar,Ahmedabad,"20.2602964,85.8394521","23.0216238,72.5797068",5305648,459480,398537,60943,19
Bhubaneswar,Bengaluru,"20.2602964,85.8394521","12.9767936,77.590082",3867474,353467,330269,23198,8
Bhubaneswar,Chennai,"20.2602964,85.8394521","13.0836939,80.270186",3531713,321299,307811,13488,5
Bhubaneswar,Delhi,"20.2602964,85.8394521","28.6273928,77.1716954",6208906,536846,448702,88144,27
Bhubaneswar,Hyderabad,"20.2602964,85.8394521","17.360589,78.4740613",4036037,362967,331852,31115,9
Bhubaneswar,Kochi,"20.2602964,85.8394521","9.9674277,76.2454436",4264373,382426,348004,34422,11
Bhubaneswar,Kolkata,"20.2602964,85.8394521","22.5726459,88.3638953",480656,43589,32209,11380,2
Bhubaneswar,Mumbai,"20.2602964,85.8394521","19.08157715,72.88662753964906",4779640,419068,370164,48904,15
Bhubaneswar,Nagpur,"20.2602964,85.8394521","21.1498134,79.0820556",4535361,399357,353513,45844,12
Bhubaneswar,Pune,"20.2602964,85.8394521","18.521428,73.8544541",4629956,406946,360359,46587,14
Bhubaneswar,Raipur,"20.2602964,85.8394521","21.2380912,81.6336993",4823909,427026,372029,54997,15
Bhubaneswar,Ranchi,"20.2602964,85.8394521","23.3700501,85.3250387",826637,82364,58186,24178,5
Bhubaneswar,Visakhapatnam,"20.2602964,85.8394521","17.7231276,83.3012842",3397644,308471,295226,13245,5
Calicut,Chennai,"11.2450558,75.7754716","13.0836939,80.270186",712482,59008,40331,18677,5
Calicut,Delhi,"11.2450558,75.7754716","28.6273928,77.1716954",2754995,224832,149485,75347,22
Calicut,Hyderabad,"11.2450558,75.7754716","17.360589,78.4740613",961384,76841,53614,23227,7
Calicut,Kannur,"11.2450558,75.7754716","11.8763836,75.3737973",91393,8685,8685,0,0
Calicut,Kochi,"11.2450558,75.7754716","9.9674277,76.2454436",169279,18755,14878,3877,2
Calicut,Mumbai,"11.2450558,75.7754716","19.08157715,72.88662753964906",1325237,112009,75806,36203,10
Chandigarh,Ahmedabad,"30.7334421,76.7797143","23.0216238,72.5797068",1174271,91144,62082,29062,10
Chandigarh,Chennai,"30.7334421,76.7797143","13.0836939,80.270186",3006241,231970,155108,76862,24
Chandigarh,Delhi,"30.7334421,76.7797143","28.6273928,77.1716954",256354,20160,16283,3877,3
Chandigarh,Goa,"30.7334421,76.7797143","15.3004543,74.0855134",2276137,177730,122881,54849,18
Chandigarh,Hyderabad,"30.7334421,76.7797143","17.360589,78.4740613",2396516,186554,125803,60751,20
Chandigarh,Jaipur,"30.7334421,76.7797143","26.9154576,75.8189817",512838,34437,26363,8074,3
Chandigarh,Jammu,"30.7334421,76.7797143","32.7185614,74.8580917",375733,28113,20950,7163,3
Chandigarh,Kolkata,"30.7334421,76.7797143","22.5726459,88.3638953",5977090,501692,422321,79371,28
Chandigarh,Mumbai,"30.7334421,76.7797143","19.08157715,72.88662753964906",1686324,128882,87590,41292,13
Chandigarh,Pune,"30.7334421,76.7797143","18.521428,73.8544541",1828884,138537,95314,43223,14
Chandigarh,Shimla,"30.7334421,76.7797143","31.1041526,77.1709729",109775,12525,9958,2567,1
Chennai,Ahmedabad,"13.0836939,80.270186","23.0216238,72.5797068",1836232,140930,96543,44387,14
Chennai,Amritsar,"13.0836939,80.270186","31.6343083,74.8736788",3205924,248320,166166,82154,25
Chennai,Bengaluru,"13.0836939,80.270186","12.9767936,77.590082",337241,28543,20840,7703,2
Chennai,Bhubaneswar,"13.0836939,80.270186","20.2602964,85.8394521",3527699,320696,307125,13571,6
Chennai,Calicut,"13.0836939,80.270186","11.2450558,75.7754716",720057,59712,41031,18681,6
Chennai,Chandigarh,"13.0836939,80.270186","30.7334421,76.7797143",2995722,232852,155378,77474,23
Chennai,Coimbatore,"13.0836939,80.270186","11.0018115,76.9628425",537445,42864,28185,14679,5
Chennai,Delhi,"13.0836939,80.270186","28.6273928,77.1716954",2744849,215666,143871,71795,21
Chennai,Goa,"13.0836939,80.270186","15.3004543,74.0855134",909718,76977,52098,24879,7
Chennai,Hubli,"13.0836939,80.270186","15.3518378,75.1379848",752932,57588,38247,19341,6
Chennai,Hyderabad,"13.0836939,80.270186","17.360589,78.4740613",632273,49493,34132,15361,5
Chennai,Jaipur,"13.0836939,80.270186","26.9154576,75.8189817",2489655,199441,131950,67491,21
Chennai,Jodhpur,"13.0836939,80.270186","26.2967719,73.0351433",2309574,179005,122821,56184,18
Chennai,Kadapa,"13.0836939,80.270186","14.4752936,78.8216861",266806,24571,19539,5032,2
Chennai,Kannur,"13.0836939,80.270186","11.8763836,75.3737973",657870,55149,41580,13569,5
Chennai,Kochi,"13.0836939,80.270186","9.9674277,76.2454436",733698,57359,38681,18678,6
Chennai,Kolkata,"13.0836939,80.270186","22.5726459,88.3638953",3060572,278827,277627,1200,2
Chennai,Madurai,"13.0836939,80.270186","9.9261153,78.1140983",467444,35501,24439,11062,3
Chennai,Mangalore,"13.0836939,80.270186","12.8698101,74.8430082",731397,65089,46160,18929,6
Chennai,Mumbai,"13.0836939,80.270186","19.08157715,72.88662753964906",1326907,104077,70974,33103,11
Chennai,Mysore,"13.0836939,80.270186","12.3051828,76.6553609",478359,37500,28195,9305,4
Chennai,Nagpur,"13.0836939,80.270186","21.1498134,79.0820556",1144050,89875,58715,31160,9
Chennai,Port Blair,"13.0836939,80.270186","11.6645348,92.7390448",1521218,139282,138682,600,1
Chennai,Pune,"13.0836939,80.270186","18.521428,73.8544541",1179902,93678,62156,31522,9
Chennai,Raipur,"13.0836939,80.270186","21.2380912,81.6336993",1431583,114622,74673,39949,11
Chennai,Rajahmundry,"13.0836939,80.270186","17.0050454,81.7804732",611700,45763,31331,14432,5
Chennai,Ranchi,"13.0836939,80.270186","23.3700501,85.3250387",3492387,315279,303686,11593,5
Chennai,Thiruvananthapuram,"13.0836939,80.270186","8.4882267,76.947551",951339,82824,56760,26064,8
Chennai,Tiruchirappalli,"13.0836939,80.270186","10.804973,78.6870296",334974,25051,18187,6864,2
Chennai,Tuticorin,"13.0836939,80.270186","8.8052602,78.1452745",616238,46985,31851,15134,4
Chennai,Udaipur,"13.0836939,80.270186","24.578721,73.6862571",2089029,162864,110253,52611,17
Chennai,Vadodara,"13.0836939,80.270186","22.2973142,73.1942567",1722974,132225,90700,41525,13
Chennai,Vijayawada,"13.0836939,80.270186","16.5087573,80.6185089",454960,33553,23343,10210,4
Chennai,Visakhapatnam,"13.0836939,80.270186","17.7231276,83.3012842",819744,64045,43387,20658,6
Coimbatore,Ahmedabad,"11.0018115,76.9628425","23.0216238,72.5797068",1881709,141600,95863,45737,15
Coimbatore,Chennai,"11.0018115,76.9628425","13.0836939,80.270186",528994,40572,27027,13545,4
Coimbatore,Coimbatore,"11.0018115,76.9628425","11.0018115,76.9628425",0,0,0,0,0
Coimbatore,Delhi,"11.0018115,76.9628425","28.6273928,77.1716954",2796291,217132,143803,73329,23
Coimbatore,Hyderabad,"11.0018115,76.9628425","17.360589,78.4740613",934504,68438,45741,22697,7
Coimbatore,Kochi,"11.0018115,76.9628425","9.9674277,76.2454436",193991,16832,13817,3015,1
Coimbatore,Kolkata,"11.0018115,76.9628425","22.5726459,88.3638953",3588800,319509,303802,15707,7
Coimbatore,Mangalore,"11.0018115,76.9628425","12.8698101,74.8430082",410989,41130,31676,9454,4
Coimbatore,Mumbai,"11.0018115,76.9628425","19.08157715,72.88662753964906",1371400,104000,69903,34097,11
Coimbatore,Pune,"11.0018115,76.9628425","18.521428,73.8544541",1225379,93842,61424,32418,10
Dehradun,Ahmedabad,"30.3255646,78.0436813","23.0216238,72.5797068",1188901,95035,64897,30138,11
Dehradun,Amritsar,"30.3255646,78.0436813","31.6343083,74.8736788",434953,30999,23202,7797,3
Dehradun,Delhi,"30.3255646,78.0436813","28.6273928,77.1716954",276069,20737,16430,4307,2
Dehradun,Hyderabad,"30.3255646,78.0436813","17.360589,78.4740613",2411869,190184,128343,61841,21
Dehradun,Jaipur,"30.3255646,78.0436813","26.9154576,75.8189817",528346,37612,28687,8925,4
Dehradun,Jammu,"30.3255646,78.0436813","32.7185614,74.8580917",569279,41694,30042,11652,3
Dehradun,Kolkata,"30.3255646,78.0436813","22.5726459,88.3638953",5993441,505539,425245,80294,29
Dehradun,Mumbai,"30.3255646,78.0436813","19.08157715,72.88662753964906",1702052,132072,89780,42292,14
Dehradun,Pantnagar,"30.3255646,78.0436813","29.028405,79.4832094",414651,32556,22957,9599,3
Delhi,Agra,"28.6273928,77.1716954","27.1752554,78.0098161",220570,15604,12391,3213,1
Delhi,Ahmedabad,"28.6273928,77.1716954","23.0216238,72.5797068",998350,79225,54767,24458,7
Delhi,Amritsar,"28.6273928,77.1716954","31.6343083,74.8736788",464132,33435,24944,8491,4
Delhi,Bhatinda,"28.6273928,77.1716954","30.25,75.0",372045,27910,19783,8127,2
Delhi,Bhubaneswar,"28.6273928,77.1716954","20.2602964,85.8394521",6302585,538309,450835,87474,30
Delhi,Calicut,"28.6273928,77.1716954","11.2450558,75.7754716",2738554,227301,152398,74903,20
Delhi,Chandigarh,"28.6273928,77.1716954","30.7334421,76.7797143",253992,19679,16148,3531,2
Delhi,Chennai,"28.6273928,77.1716954","13.0836939,80.270186",2759452,218502,146071,72431,22
Delhi,Coimbatore,"28.6273928,77.1716954","11.0018115,76.9628425",2800442,218283,144967,73316,22
Delhi,Dehradun,"28.6273928,77.1716954","30.3255646,78.0436813",272998,21805,16840,4965,2
Delhi,Goa,"28.6273928,77.1716954","15.3004543,74.0855134",2027064,162230,112277,49953,16
Delhi,Gwalior,"28.6273928,77.1716954","26.2037247,78.1573628",327941,24801,19630,5171,2
Delhi,Hyderabad,"28.6273928,77.1716954","17.360589,78.4740613",2244498,175770,120920,54850,18
Delhi,Jaipur,"28.6273928,77.1716954","26.9154576,75.8189817",262341,19736,16489,3247,1
Delhi,Jammu,"28.6273928,77.1716954","32.7185614,74.8580917",598458,44187,31838,12349,4
Delhi,Jodhpur,"28.6273928,77.1716954","26.2967719,73.0351433",707008,55042,40922,14120,5
Delhi,Kannur,"28.6273928,77.1716954","11.8763836,75.3737973",2684902,217343,145276,72067,21
Delhi,Kochi,"28.6273928,77.1716954","9.9674277,76.2454436",2996633,233423,156113,77310,23
Delhi,Kolkata,"28.6273928,77.1716954","22.5726459,88.3638953",5727968,485604,412053,73551,25
Delhi,Ludhiana,"28.6273928,77.1716954","30.9090157,75.851601",318679,22999,18536,4463,2
Delhi,Madurai,"28.6273928,77.1716954","9.9261153,78.1140983",2916807,230475,153468,77007,23
Delhi,Mangalore,"28.6273928,77.1716954","12.8698101,74.8430082",2461560,206053,136168,69885,19
Delhi,Mumbai,"28.6273928,77.1716954","19.08157715,72.88662753964906",1534618,119383,83678,35705,11
Delhi,Nagpur,"28.6273928,77.1716954","21.1498134,79.0820556",2690385,210683,142423,68260,20
Delhi,Pantnagar,"28.6273928,77.1716954","29.028405,79.4832094",267254,22385,15492,6893,2
Delhi,Port Blair,"28.6273928,77.1716954","11.6645348,92.7390448",4291906,352309,279451,72858,25
Delhi,Pune,"28.6273928,77.1716954","18.521428,73.8544541",1676185,129019,91403,37616,12
Delhi,Raipur,"28.6273928,77.1716954","21.2380912,81.6336993",2977935,235080,158677,76403,22
Delhi,Rajkot,"28.6273928,77.1716954","22.3053263,70.8028377",1210801,95867,67612,28255,8
Delhi,Ranchi,"28.6273928,77.1716954","23.3700501,85.3250387",6263114,532973,447131,85842,29
Delhi,Shimla,"28.6273928,77.1716954","31.1041526,77.1709729",358385,32151,24378,7773,3
Delhi,Tirupati,"28.6273928,77.1716954","13.6316368,79.4231711",2780339,216423,147476,68947,21
Delhi,Udaipur,"28.6273928,77.1716954","24.578721,73.6862571",666916,51549,36754,14795,4
Delhi,Vadodara,"28.6273928,77.1716954","22.2973142,73.1942567",1025283,85045,57403,27642,7
Delhi,Vijayawada,"28.6273928,77.1716954","16.5087573,80.6185089",2536834,196308,135031,61277,20
Delhi,Visakhapatnam,"28.6273928,77.1716954","17.7231276,83.3012842",2904402,226053,154404,71649,23
Dibrugarh,Dimapur,"27.4844597,94.9019447","25.911744,93.721703",274382,29314,23211,6103,2
Dibrugarh,Jorhat,"27.4844597,94.9019447","26.7577925,94.2079645",137265,13291,11864,1427,1
Goa,Ahmedabad,"15.3004543,74.0855134","23.0216238,72.5797068",1153767,90842,64664,26178,8
Goa,Amritsar,"15.3004543,74.0855134","31.6343083,74.8736788",2522273,197204,136446,60758,18
Goa,Bengaluru,"15.3004543,74.0855134","12.9767936,77.590082",613010,54499,34922,19577,6
Goa,Chandigarh,"15.3004543,74.0855134","30.7334421,76.7797143",2312095,182844,126363,56481,17
Goa,Chennai,"15.3004543,74.0855134","13.0836939,80.270186",941929,80988,54980,26008,7
Goa,Delhi,"15.3004543,74.0855134","28.6273928,77.1716954",2068251,166892,115134,51758,15
Goa,Hubli,"15.3004543,74.0855134","15.3518378,75.1379848",271724,24447,19336,5111,2
Goa,Hyderabad,"15.3004543,74.0855134","17.360589,78.4740613",788877,69433,47652,21781,6
Goa,Kannur,"15.3004543,74.0855134","11.8763836,75.3737973",871623,81166,54474,26692,7
Goa,Kochi,"15.3004543,74.0855134","9.9674277,76.2454436",1179251,99518,67229,32289,10
Goa,Kolkata,"15.3004543,74.0855134","22.5726459,88.3638953",4001678,360690,332094,28596,10
Goa,Mumbai,"15.3004543,74.0855134","19.08157715,72.88662753964906",637334,50225,36657,13568,4
Goa,Mysore,"15.3004543,74.0855134","12.3051828,76.6553609",712557,61395,39594,21801,5
Goa,Nagpur,"15.3004543,74.0855134","21.1498134,79.0820556",1228610,105559,69202,36357,8
Goa,Pune,"15.3004543,74.0855134","18.521428,73.8544541",493000,40121,29470,10651,3
Guwahati,Tezpur,"26.1805978,91.753943","26.61695705,92.76500717365028",188641,15395,12755,2640,1
Hubli,Ahmedabad,"15.3518378,75.1379848","23.0216238,72.5797068",1088986,82045,56742,25303,8
Hubli,Chennai,"15.3518378,75.1379848","13.0836939,80.270186",757601,58572,38693,19879,6
Hubli,Goa,"15.3518378,75.1379848","15.3004543,74.0855134",157343,15695,13481,2214,1
Hubli,Hyderabad,"15.3518378,75.1379848","17.360589,78.4740613",724846,61371,39407,21964,6
Hubli,Kannur,"15.3518378,75.1379848","11.8763836,75.3737973",682794,57500,38332,19168,5
Hubli,Kochi,"15.3518378,75.1379848","9.9674277,76.2454436",994810,76166,50515,25651,8
Hubli,Mangalore,"15.3518378,75.1379848","12.8698101,74.8430082",459753,46909,29387,17522,3
Hubli,Mumbai,"15.3518378,75.1379848","19.08157715,72.88662753964906",572553,42383,29579,12804,4
Hubli,Tirupati,"15.3518378,75.1379848","13.6316368,79.4231711",671467,49122,31732,17390,6
Hyderabad,Ahmedabad,"17.360589,78.4740613","23.0216238,72.5797068",1243662,97689,67970,29719,11
Hyderabad,Amritsar,"17.360589,78.4740613","31.6343083,74.8736788",2608022,202393,139410,62983,21
Hyderabad,Belgaum,"17.360589,78.4740613","15.8572666,74.5069343",634833,51118,35611,15507,5
Hyderabad,Bhubaneswar,"17.360589,78.4740613","20.2602964,85.8394521",4042329,362828,331525,31303,12
Hyderabad,Calicut,"17.360589,78.4740613","11.2450558,75.7754716",973011,78916,57181,21735,7
Hyderabad,Chandigarh,"17.360589,78.4740613","30.7334421,76.7797143",2398059,188705,129945,58760,20
Hyderabad,Chennai,"17.360589,78.4740613","13.0836939,80.270186",630480,48449,33128,15321,5
Hyderabad,Coimbatore,"17.360589,78.4740613","11.0018115,76.9628425",953056,69137,48565,20572,7
Hyderabad,Dehradun,"17.360589,78.4740613","30.3255646,78.0436813",2423949,193397,134393,59004,21
Hyderabad,Delhi,"17.360589,78.4740613","28.6273928,77.1716954",2152882,172958,118913,54045,18
Hyderabad,Goa,"17.360589,78.4740613","15.3004543,74.0855134",748241,64861,45641,19220,6
Hyderabad,Gwalior,"17.360589,78.4740613","26.2037247,78.1573628",2408437,190791,130720,60071,20
Hyderabad,Hubli,"17.360589,78.4740613","15.3518378,75.1379848",613202,51109,35538,15571,5
Hyderabad,Jaipur,"17.360589,78.4740613","26.9154576,75.8189817",1895971,152833,102905,49928,16
Hyderabad,Jammu,"17.360589,78.4740613","32.7185614,74.8580917",2742337,213077,146240,66837,21
Hyderabad,Kadapa,"17.360589,78.4740613","14.4752936,78.8216861",423271,29009,21934,7075,3
Hyderabad,Kannur,"17.360589,78.4740613","11.8763836,75.3737973",905049,71169,51064,20105,7
Hyderabad,Kochi,"17.360589,78.4740613","9.9674277,76.2454436",1149275,86410,61338,25072,9
Hyderabad,Kolhapur,"17.360589,78.4740613","16.7028412,74.2405329",557264,44811,30812,13999,5
Hyderabad,Kolkata,"17.360589,78.4740613","22.5726459,88.3638953",3571381,316502,298752,17750,8
Hyderabad,Madurai,"17.360589,78.4740613","9.9261153,78.1140983",1069438,81452,57493,23959,8
Hyderabad,Mangalore,"17.360589,78.4740613","12.8698101,74.8430082",973604,78942,54671,24271,7
Hyderabad,Mumbai,"17.360589,78.4740613","19.08157715,72.88662753964906",727218,56125,39091,17034,7
Hyderabad,Mysore,"17.360589,78.4740613","12.3051828,76.6553609",721032,50270,35948,14322,5
Hyderabad,Nagpur,"17.360589,78.4740613","21.1498134,79.0820556",509859,39555,27266,12289,4
