"23.8312377,91.2823821","23.860878800000002,92.86469395021993",nan,nan,nan,nan
"23.8312377,91.2823821","12.9767936,77.590082",nan,nan,nan,nan
"23.8312377,91.2823821","28.6273928,77.1716954",nan,nan,nan,nan
"23.8312377,91.2823821","26.1805978,91.753943",nan,nan,nan,nan
"23.8312377,91.2823821","17.360589,78.4740613",nan,nan,nan,nan
"23.8312377,91.2823821","24.7991162,93.9364419",nan,nan,nan,nan
"23.8312377,91.2823821","22.5726459,88.3638953",nan,nan,nan,nan
"27.1752554,78.0098161","12.9767936,77.590082",nan,nan,nan,nan
"27.1752554,78.0098161","23.2584857,77.401989",nan,nan,nan,nan
"27.1752554,78.0098161","28.6273928,77.1716954",nan,nan,nan,nan
"27.1752554,78.0098161","26.9154576,75.8189817",nan,nan,nan,nan
"27.1752554,78.0098161","24.8515132,79.9259786",nan,nan,nan,nan
"27.1752554,78.0098161","26.8381,80.9346001",nan,nan,nan,nan
"27.1752554,78.0098161","25.3356491,83.0076292",nan,nan,nan,nan
"23.0216238,72.5797068","31.6343083,74.8736788",nan,nan,nan,nan
"23.0216238,72.5797068","24.786306,84.41448983395554",nan,nan,nan,nan
"23.0216238,72.5797068","26.6988847,88.3200303",nan,nan,nan,nan
"23.0216238,72.5797068","15.8572666,74.5069343",nan,nan,nan,nan
"23.0216238,72.5797068","12.9767936,77.590082",nan,nan,nan,nan
"23.0216238,72.5797068","21.7718836,72.1416449",nan,nan,nan,nan
"23.0216238,72.5797068","23.2584857,77.401989",nan,nan,nan,nan
"23.0216238,72.5797068","20.2602964,85.8394521",nan,nan,nan,nan
